,date,open,high,low,close,volume
1444,2022-12-15,17806.0,17853.0,17288.0,17362.0,1887.37172156
1445,2022-12-16,17361.0,17525.0,16572.0,16633.0,2853.96835966
1446,2022-12-17,16635.0,16794.0,16596.0,16781.0,1114.37024438
1447,2022-12-18,16780.0,16850.0,16676.0,16749.0,695.99091766
1448,2022-12-19,16744.0,16815.0,16293.0,16446.0,2157.44154575
1449,2022-12-20,16441.0,17046.0,16402.0,16898.0,2115.97889225
1450,2022-12-21,16899.0,16919.0,16719.0,16824.0,1618.76729861
1451,2022-12-22,16823.0,16863.0,16570.0,16821.0,1946.30526969
1452,2022-12-23,16821.0,16916.0,16750.0,16779.0,2138.4466876
1453,2022-12-24,16779.0,16848.0,16779.0,16839.0,960.3266097
1454,2022-12-25,16839.0,16850.0,16731.0,16828.0,717.96557265
1455,2022-12-26,16828.0,16933.0,16801.0,16917.0,731.85697007
1456,2022-12-27,16920.0,16961.0,16588.0,16700.0,2204.70406525
1457,2022-12-28,16699.0,16772.0,16465.0,16540.0,2220.78816676
1458,2022-12-29,16540.0,16650.0,16486.0,16628.0,1560.43976985
1459,2022-12-30,16628.0,16650.0,16337.0,16603.0,2223.64394181
1460,2022-12-31,16602.0,16627.0,16471.0,16528.0,602.43437164
1461,2023-01-01,16530.0,16622.0,16496.0,16615.0,473.83273801
1462,2023-01-02,16615.0,16782.0,16552.0,16673.0,1046.7274368
1463,2023-01-03,16668.0,16766.0,16605.0,16670.0,1388.07196613
1464,2023-01-04,16673.0,16984.0,16652.0,16849.0,2038.03012252
1465,2023-01-05,16847.0,16871.0,16755.0,16826.0,1131.61941681
1466,2023-01-06,16826.0,17024.0,16669.0,16950.0,1738.57975267
1467,2023-01-07,16951.0,16975.0,16907.0,16945.0,523.75442441
1468,2023-01-08,16946.0,17163.0,16915.0,17119.0,816.57209307
1469,2023-01-09,17124.0,17393.0,17108.0,17179.0,2213.34824624
1470,2023-01-10,17177.0,17490.0,17147.0,17446.0,1354.43514717
1471,2023-01-11,17448.0,17992.0,17318.0,17930.0,1904.45231601
1472,2023-01-12,17948.0,19114.0,17911.0,18853.0,5124.55845338
1473,2023-01-13,18852.0,19991.0,18720.0,19931.0,3765.2742592
1474,2023-01-14,19936.0,21247.0,19895.0,20960.0,6843.48563958
1475,2023-01-15,20961.0,21052.0,20549.0,20885.0,1352.72025796
1476,2023-01-16,20879.0,21456.0,20634.0,21189.0,3236.95717404
1477,2023-01-17,21186.0,21594.0,20863.0,21134.0,2302.39736137
1478,2023-01-18,21136.0,21646.0,20358.0,20670.0,3794.75671744
1479,2023-01-19,20678.0,21185.0,20654.0,21086.0,2391.67069084
1480,2023-01-20,21085.0,22750.0,20869.0,22678.0,2937.14734339
1481,2023-01-21,22670.0,23362.0,22442.0,22783.0,3013.23007247
1482,2023-01-22,22791.0,23076.0,22314.0,22717.0,1548.97073883
1483,2023-01-23,22708.0,23167.0,22525.0,22922.0,1699.036477
1484,2023-01-24,22922.0,23162.0,22473.0,22637.0,1953.73212508
1485,2023-01-25,22636.0,23815.0,22334.0,23054.0,2582.12043347
1486,2023-01-26,23063.0,23282.0,22866.0,23010.0,1472.74474346
1487,2023-01-27,23011.0,23500.0,22541.0,23083.0,2086.70647505
1488,2023-01-28,23082.0,23187.0,22894.0,23033.0,834.3522255
1489,2023-01-29,23031.0,23954.0,22981.0,23746.0,1620.98279529
1490,2023-01-30,23748.0,23799.0,22504.0,22831.0,2081.82272658
1491,2023-01-31,22831.0,23318.0,22724.0,23127.0,1557.98459142
1492,2023-02-01,23134.0,23810.0,22768.0,23735.0,2468.52240577
1493,2023-02-02,23736.0,24258.0,23377.0,23498.0,2609.58252721
1494,2023-02-03,23503.0,23719.0,23212.0,23434.0,1742.07112849
1495,2023-02-04,23421.0,23582.0,23266.0,23330.0,778.73091268
1496,2023-02-05,23328.0,23428.0,22766.0,22937.0,1525.50154971
1497,2023-02-06,22942.0,23148.0,22643.0,22763.0,1731.60284453
1498,2023-02-07,22761.0,23338.0,22751.0,23252.0,2758.47564405
1499,2023-02-08,23246.0,23439.0,22686.0,22961.0,1236.37140064
1500,2023-02-09,22965.0,23003.0,21700.0,21802.0,2260.7850853
1501,2023-02-10,21803.0,21939.0,21454.0,21639.0,1503.99323818
1502,2023-02-11,21631.0,21904.0,21610.0,21868.0,699.37255295
1503,2023-02-12,21868.0,22086.0,21649.0,21789.0,1481.78576998
1504,2023-02-13,21790.0,21897.0,21376.0,21790.0,1923.03740841
1505,2023-02-14,21790.0,22316.0,21569.0,22211.0,2032.44280719
1506,2023-02-15,22208.0,24374.0,22064.0,24332.0,2316.23830307
1507,2023-02-16,24332.0,25270.0,23520.0,23521.0,3634.8002493
1508,2023-02-17,23518.0,25014.0,23369.0,24580.0,3328.63120407
1509,2023-02-18,24577.0,24869.0,24450.0,24640.0,721.18871725
1510,2023-02-19,24638.0,25183.0,24211.0,24296.0,1717.15816149
1511,2023-02-20,24271.0,25118.0,23862.0,24843.0,1828.53775073
1512,2023-02-21,24843.0,25250.0,24165.0,24450.0,2506.05738181
1513,2023-02-22,24450.0,24474.0,23594.0,24188.0,1951.95970979
1514,2023-02-23,24188.0,24590.0,23636.0,23939.0,2000.28221308
1515,2023-02-24,23939.0,24124.0,22865.0,23189.0,2782.78873072
1516,2023-02-25,23186.0,23215.0,22770.0,23161.0,863.37221739
1517,2023-02-26,23166.0,23678.0,23068.0,23562.0,1019.2008877
1518,2023-02-27,23560.0,23890.0,23126.0,23493.0,1768.12573577
1519,2023-02-28,23497.0,23594.0,23048.0,23136.0,1185.70463735
1520,2023-03-01,23146.0,23990.0,23040.0,23634.0,1748.04686969
1521,2023-03-02,23632.0,23791.0,23206.0,23466.0,1090.90317933
1522,2023-03-03,23469.0,23477.0,22000.0,22359.0,2878.02219561
1523,2023-03-04,22359.0,22401.0,22170.0,22347.0,608.34767678
1524,2023-03-05,22347.0,22652.0,22212.0,22428.0,944.66432972
1525,2023-03-06,22427.0,22590.0,22263.0,22407.0,1156.23472957
1526,2023-03-07,22414.0,22547.0,21931.0,22200.0,1837.72234137
1527,2023-03-08,22197.0,22275.0,21590.0,21704.0,1477.18402948
1528,2023-03-09,21697.0,21824.0,20043.0,20367.0,3373.14910671
1529,2023-03-10,20368.0,20368.0,19569.0,20220.0,4695.23685366
1530,2023-03-11,20226.0,20874.0,19893.0,20618.0,3590.95407524
1531,2023-03-12,20615.0,22269.0,20456.0,22183.0,3599.49467653
1532,2023-03-13,22190.0,24618.0,21900.0,24209.0,6738.26574302
1533,2023-03-14,24210.0,26533.0,24070.0,24750.0,7966.02323163
1534,2023-03-15,24745.0,25273.0,23940.0,24368.0,4368.44571382
1535,2023-03-16,24361.0,25217.0,24229.0,25050.0,2430.85019301
1536,2023-03-17,25051.0,27818.0,24954.0,27466.0,5166.28277037
1537,2023-03-18,27466.0,27776.0,26707.0,26980.0,2933.79686267
1538,2023-03-19,26992.0,28474.0,26900.0,28054.0,2615.71251826
1539,2023-03-20,28081.0,28567.0,27231.0,27815.0,3998.09358215
1540,2023-03-21,27808.0,28497.0,27436.0,28192.0,2955.11628597
1541,2023-03-22,28184.0,28936.0,26688.0,27320.0,5024.21040571
1542,2023-03-23,27320.0,28818.0,27187.0,28343.0,3199.6545122
1543,2023-03-24,28352.0,29380.0,27043.0,27493.0,2789.44951461
1544,2023-03-25,27497.0,27810.0,27210.0,27499.0,963.83840741
1545,2023-03-26,27493.0,28217.0,27453.0,28004.0,1100.20331067
1546,2023-03-27,27992.0,28051.0,26541.0,27142.0,2258.96393636
1547,2023-03-28,27142.0,27514.0,26647.0,27272.0,2137.04196923
1548,2023-03-29,27272.0,28650.0,27258.0,28353.0,2161.81292594
1549,2023-03-30,28353.0,29170.0,27706.0,28039.0,2912.7258869
1550,2023-03-31,28036.0,28653.0,27533.0,28476.0,2301.18236248
1551,2023-04-01,28476.0,28816.0,28237.0,28469.0,656.33679146
1552,2023-04-02,28469.0,28544.0,27891.0,28186.0,689.98223995
1553,2023-04-03,28179.0,28506.0,27236.0,27816.0,2393.226229
1554,2023-04-04,27820.0,28447.0,27686.0,28178.0,1294.59736105
1555,2023-04-05,28179.0,28782.0,27823.0,28183.0,1576.30733991
1556,2023-04-06,28181.0,28199.0,27723.0,28051.0,1064.88009436
1557,2023-04-07,28054.0,28118.0,27797.0,27931.0,436.4796401
1558,2023-04-08,27931.0,28174.0,27891.0,27969.0,417.7631391
1559,2023-04-09,27968.0,28544.0,27833.0,28340.0,718.54765779
1560,2023-04-10,28353.0,29789.0,28184.0,29652.0,2711.67320655
1561,2023-04-11,29657.0,30575.0,29617.0,30246.0,2689.4048951
1562,2023-04-12,30255.0,30503.0,29689.0,29903.0,1926.94195052
1563,2023-04-13,29914.0,30614.0,29889.0,30410.0,1503.93427177
1564,2023-04-14,30411.0,31035.0,30001.0,30498.0,2540.14059427
1565,2023-04-15,30498.0,30620.0,30249.0,30332.0,560.64010658
1566,2023-04-16,30327.0,30567.0,30157.0,30330.0,656.81163772
1567,2023-04-17,30328.0,30337.0,29247.0,29448.0,2077.00292863
1568,2023-04-18,29452.0,30483.0,29122.0,30395.0,1827.46761436
1569,2023-04-19,30388.0,30423.0,28603.0,28827.0,3869.09654939
1570,2023-04-20,28814.0,29098.0,28005.0,28238.0,2450.06329929
1571,2023-04-21,28240.0,28362.0,27140.0,27254.0,2455.89969552
1572,2023-04-22,27253.0,27883.0,27137.0,27817.0,1010.44737158
1573,2023-04-23,27820.0,27820.0,27347.0,27596.0,798.04552773
1574,2023-04-24,27594.0,27998.0,26981.0,27512.0,2236.65500868
1575,2023-04-25,27515.0,28392.0,27197.0,28300.0,1874.16625132
1576,2023-04-26,28306.0,30022.0,27242.0,28428.0,5277.187044
1577,2023-04-27,28427.0,29887.0,28389.0,29485.0,3748.60576512
1578,2023-04-28,29486.0,29600.0,28922.0,29333.0,2449.0749774
1579,2023-04-29,29339.0,29460.0,29061.0,29247.0,932.47961185
1580,2023-04-30,29252.0,29961.0,29115.0,29235.0,1415.25506091
1581,2023-05-01,29254.0,29344.0,27666.0,28079.0,2913.86283351
1582,2023-05-02,28079.0,28894.0,27876.0,28680.0,1935.55649138
1583,2023-05-03,28682.0,29276.0,28138.0,29033.0,2838.45231646
1584,2023-05-04,29043.0,29378.0,28691.0,28851.0,1656.27922902
1585,2023-05-05,28860.0,29701.0,28832.0,29547.0,1923.16974421
1586,2023-05-06,29537.0,29851.0,28422.0,28911.0,1443.17174676
1587,2023-05-07,28909.0,29194.0,28444.0,28472.0,1021.45715582
1588,2023-05-08,28485.0,28667.0,27290.0,27690.0,2936.79913382
1589,2023-05-09,27688.0,27841.0,27372.0,27650.0,1573.53076474
1590,2023-05-10,27648.0,28328.0,26842.0,27618.0,2848.942523
1591,2023-05-11,27624.0,27640.0,26720.0,26991.0,2126.87109348
1592,2023-05-12,26987.0,27093.0,25800.0,26811.0,4842.98246111
1593,2023-05-13,26816.0,27052.0,26710.0,26789.0,1269.30464643
1594,2023-05-14,26805.0,27202.0,26598.0,26933.0,1325.63421938
